indice_tiempo,agricultura_ganaderia_caza_silvicultura,pesca,explotacion_minas_canteras,industria_manufacturera,electricidad_gas_agua,construccion,comercio_mayorista_minorista_reparaciones,hoteles_restaurantes,transporte_comunicaciones,intermediacion_financiera,actividades_inmobiliarias_empresariales_alquiler,admin_publica_planes_seguridad_social_afiliacion_obligatoria,ensenianza,servicios_sociales_salud,otras_actividades_servicios_comunitarias_sociales_personales,impuestos_netos_subsidios
2013-12-01,85.37363102902982,77.53448440084631,92.75465184041484,141.72136873597873,150.66439395736649,141.14148429724455,151.1921556194695,156.1662682817733,175.56940113449625,189.09005168095118,140.2423689915374,143.00480518884032,146.94423570577044,151.0756656849699,147.7999120908291,158.30074163093744
2014-01-01,65.0446392916646,48.977577871730624,93.14054800320154,124.4212336626914,150.39359921013954,150.31106016566758,144.5742486235413,165.5993277131196,175.08586920770733,192.57366748781752,128.0395424919344,141.90487954957877,141.9955361921587,163.5666123008387,152.72895195075063,170.4221321058853
2014-02-01,68.93624485226428,81.66239794549071,86.83486326032832,119.71693463733202,126.21041872417051,149.4195773457228,140.88046618185768,155.42401684491017,169.3849742695385,178.7424815440046,128.57732700689039,141.87968550381086,143.45822838040996,154.37805213114873,145.31900424676374,153.71270182584487
2014-03-01,131.15245128337966,162.95871517857924,95.77755920880821,135.33331828037657,131.20138381891118,150.87082932725983,156.7203561494256,149.65064628539503,177.5450962401662,176.77346741999375,129.11693967756443,142.23492963123584,143.46859829338595,167.54335747517428,147.0264375172689,156.79709352296695
2014-04-01,213.79142624821569,136.30192508226077,89.81293107494474,135.74717413307272,128.63806699219427,146.55652534218152,152.7232686907613,147.87647860611008,185.29111973471674,176.13509609333943,130.9784958769456,141.78195882884094,144.81472325781658,172.87313982989247,147.38251943000444,165.42512484619087
2014-05-01,323.8011752339501,178.23074297328347,98.17706399264667,140.41674493148898,139.17577096760363,148.22066328956524,155.54352985281784,145.30106827611766,196.4469027327474,175.95751463393233,134.0458599108031,142.67838718487832,146.3508847692977,175.43879705013325,146.52891132950347,164.3835092678724
2014-06-01,214.76749724613734,225.12553897578505,92.83794099434779,136.40998351202848,142.7748544115638,148.25887170097093,151.95325212323513,143.39129909729834,189.8984151071081,179.49676979334984,138.38450289471567,144.041990629197,148.75725083659367,180.3309294645174,146.28942850500155,159.18176500214
2014-07-01,110.42702279603485,178.25213281625395,95.0945315254412,137.35661927840937,147.39283622849214,147.02293081147056,154.3389201291545,160.55894838471878,185.10098641538403,176.4473438077133,135.40926967918145,144.0888823774733,148.30510189691336,166.20767576289407,157.32304751192686,159.95074910442492
2014-08-01,68.65546506699638,174.45471597466428,94.06236445582705,136.83446126254012,137.10758957434385,147.20545100872226,151.75616002864547,158.32586917452102,180.85648989839197,176.68497515835082,133.89880187782487,144.7039740965368,149.0032815351834,166.72753643835384,151.49398734018672,154.8610659218349
2014-09-01,67.11585816459777,195.6859703965329,93.37173765888168,139.49073399596097,129.72984563513117,149.5263026902926,158.82883782811237,158.22141043418466,179.62754099497192,178.34358402489576,135.38853348520624,144.90596178518757,149.67228264459783,163.6050743367761,148.44810578176416,157.44033715018693
2014-10-01,69.33396734077101,215.35071923714918,96.08091359919564,144.75621316607635,138.68256980884925,142.4347976867099,161.6106082417014,164.5197609285067,182.37152522452,178.64061540394476,135.77662484365004,145.13483709900476,150.7503340864833,159.75150447322326,148.69214999854194,155.60847829747894
2014-11-01,83.92547950639224,143.7916396321845,92.73521485287749,139.4289330514719,133.88900101473905,143.01018070430143,154.51078433169934,163.98949702406105,180.47836662750626,169.83905718030462,135.23790426585657,145.86877933402303,150.82819579626218,159.61457064918244,148.75350585659223,149.69603545318813
2014-12-01,88.52394623881575,76.39106625357044,94.77313741412655,133.8623263347227,142.45561803342665,139.96445200159403,147.5968485241539,162.91976514550842,179.91374352790407,176.14249373829176,139.3297549336797,147.22098653016923,150.8545533552837,153.6182368574931,147.50163795481433,154.16847652376657
2015-01-01,61.32173727655375,49.07539001468238,95.14667013328177,118.27273777332528,149.1242300147209,146.68971163831233,133.04972550076468,171.67831186906454,178.84368584975817,176.13005139985216,128.3776366616169,146.20580113727934,146.5469966767402,167.4512825270009,150.79204764531661,161.60951574176883
